id_left,text_left
123839,yanni
188629,k pop
13898,venice film festival
316959,downtown brooklyn
515031,pennsylvania house of representatives
123783,northern premier league
4332,first national pictures
9591,poland
114982,cyperaceae
563603,trinidad and tobago
104206,normandy landings
1580851,perry index
23678,arm architecture
37480,mi5
109454,patriarch of antioch
544250,nashik district
12519,semiotics
115015,santa cruz de tenerife
84287,gastropoda
24998,zaragoza
11925,south carolina
643,augustine of hippo
113075,canton of geneva
1250387,leo tolstoy
72012,riemannian manifold
167865,tuzla
1425120,subaru
24883,tomsk
27200,united states department of agriculture
136856,north borneo
6031,isaac asimov
1313191,hilbert space
187115,chechens
84110,arunachal pradesh
208234,central otago
6431,ira gershwin
10799,rock and roll
1417144,fiba
32512,east coast of the united states
677637,wikipedia
97937,pernambuco
113765,west coast eagles
12900,twin peaks
1294909,dutch language
73745,liberal party of canada
11692,spratly islands
22173,kampala
76662,national film board of canada
164301,turkish war of independence
23344,chania
9367,oakland raiders
592217,krishnagiri district
98546,vr group
98175,trade name
15189,anglo saxons
1256,bermuda
1815937,paradox development studio
1249076,usenet
80274,bbc radio
38489,wallace stevens
11311,spain
4754,franchising
257711,united artists records
141668,royal corps of signals
100895,palawan
32945,seine et marne
112321,west country
133725,bailiwick of guernsey
424464,pleuronectidae
523456,income tax in the united states
1327515,gp3 series
12101,septimius severus
9739,pharaoh
189869,metropolitan borough of doncaster
143444,history of the jews in poland
78940,erasure
12527,suez canal
327199,naval air station lemoore
7707,lower saxony
97455,robert stack
1262433,boeing
488875,wexford gaa
74026,miss universe
358108,sydney central business district
95179,keweenaw peninsula
7862,music
151797,nba g league
92980,makati
100876,genre art
238228,aintree racecourse
107755,colchester
32539,christian rock
12953,the clash
24843,friedrich schiller
119528,comedy drama
30765,tiberias
134772,fc basel
27711,new york knicks
361260,perm krai
17874,dordogne
3524,dutch west india company
75902,titian
809894,victorian burlesque
126362,tvb
288208,muridae
406254,tvxq
240663,kenneth cope
34848,london borough of islington
195113,top cow productions
264822,bradford bulls
8387,mike oldfield
186363,shooter game
165761,hull kingston rovers
76875,national science foundation
605155,grau
17836,dannii minogue
83566,christopher nolan
132697,moscow oblast
1563,british national party
23924,balochi language
1433,benjamin franklin
29737,big south conference
26758,cantabria
19717,alice in chains
7870,michigan
16093,soundgarden
34844,bermondsey
2234455,2017 ncaa division i fbs football season
382531,northwestern united states
12252,southeast asia
11446,social psychology
21027,john coltrane
1370698,roll of distinguished philatelists
113657,restoration movement
3348,danny elfman
217425,konkani language
197576,dungannon
129397,united soccer league
257126,chapters and verses of the bible
67592,isle of man tt
93136,eth zurich
892237,emirate of abu dhabi
20605,delaware river
1219,black sea
389032,antigua
10656,primary school
1778,berber languages
108160,loch lomond
964897,african union
94266,north american numbering plan
13744,ural mountains
13539,utah
407598,algarve cup
97620,mixed martial arts
203795,jaxa
356090,plateau state
112731,albanian national awakening
714608,unionidae
88181,mystery fiction
87960,metropolitan police service
96791,bukovina
172084,wilbert awdry
1836051,the americans
14393,western bulldogs
1559299,christian theology
82801,patriarch
969771,skanderbeg
125685,korea under japanese rule
101336,major league lacrosse
78856,perak
126985,graduate school
231130,master of fine arts
197161,little league world series
94693,tugboat
1339737,2016 united states presidential election
273381,united states national rugby union team
73398,1906 intercalated games
179677,bocas del toro province
90354,inline four engine
1608685,english feudal barony
446634,royal guelphic order
1595,bodybuilding
73102,dusty springfield
494392,caserta
94832,northrop grumman
24349,bourbon restoration
12374,sql
151391,south cambridgeshire
584158,alappuzha
15282,united states national guard
434927,korean drama
21969,thiruvananthapuram
15987,collecting
13776,uzbeks
768304,vickers limited
132575,luis miguel
833105,ottoman navy
76345,truman capote
537,arnold schwarzenegger
181536,taurus mountains
4215,easter rising
17227,henry david thoreau
97781,george jones
1589,bbc radio 1
119663,craven
1336894,architecture
1568489,sega
133700,second sea lord
147768,stena line
674995,wingecarribee shire
1047896,fraser coast region
6368,intellivision
172053,gridiron football
1045273,moreton bay region
80687,ultimate play the game
1263864,literature
81739,podgorica
113925,lugano
73285,smokey robinson
27399,major league soccer
35101,london borough of redbridge
5570,roman britain
14758,budapest
10792,rugby football
726995,archbishop of york
17814,edward ii of england
908,ajmer
85435,yamaguchi prefecture
79941,jaipur
140552,indonesian cuisine
145807,port of los angeles
107616,british academy
13801,united methodist church
357261,independent music
34865,chiswick
2259,celebrity
6213,ivy league
72576,nas
163527,province of massachusetts bay
75654,christmas carol
29687,aix en provence
1283640,black hills
1703622,willamette valley
324633,master of wine
37756,carl reiner
1237543,podlaskie voivodeship
342167,princess
1058358,collins crime club
248154,romanian naval forces
330931,poxviridae
163736,koper
488869,limerick gaa
20603,ancona
8055,mauritius
109832,clark university
9332,ohio
204974,ludwigsburg
339255,provinces of chile
22113,right wing politics
94641,horticulture
10825,richard nixon
71636,indie rock
2078947,samsung
146007,virginia general assembly
11481,schutzstaffel
1282373,cloud computing
605568,upper carniola
276580,crown colony
190225,metropolitan borough of solihull
26652,valladolid
14325,william goldman
23815,socialist unity party of germany
119102,irem
17755,turkic peoples
29896,coldplay
26093,prunus
1272415,odin
94442,vh1
260160,twelfth grade
152382,faversham
883324,city of townsville
71191,trinity college dublin
178216,tasmanian house of assembly
1408773,kgb
6047,idaho
1410732,liao dynasty
37218,gascon language
22295,luxembourg city
12601,saddam hussein
15200,ovid
14027,venus
545390,srikakulam district
81411,vest agder
1324050,comedy
8669,megadeth
21961,sioux
612261,baie james
389274,frontier martial arts wrestling
39839,east lothian
90512,indomalayan realm
185712,albacete
302505,richard fleischer
2623,cincinnati reds
1343759,vyborg
725960,provincial assembly of the punjab
5554,hamburg
180826,ku ring gai council
22170,hanoi
203549,northern england
270009,nonpartisanism
110384,reserve bank of india
296861,tony hatch
6835,joan of arc
19342,chinese americans
18363,fox broadcasting company
226344,parramatta eels
37955,duisburg
19145,oxford university press
14445,yukon
605066,tenants purchase scheme
2228,cthulhu mythos
2613,cape town
1742574,phoenicia
28296,equestrianism
100963,taunton
561358,1947 ceylonese parliamentary election
13460,triathlon
85285,west coast main line
4925,ghana
104339,manchester metrolink
183397,darfur
156457,jim crockett promotions
284,antoninus pius
34937,isle of dogs
76048,will smith
164182,dewan rakyat
411597,jennifer rowe
422208,kaduna state
3522,dahomey
73430,nakskov
113428,ciutat vella
9399,ohio river
2243,civil engineering
157351,kaluga oblast
2842,london borough of croydon
377416,guillermo del toro
4855,germany
4397,french polynesia
1846628,chvrches
75969,mark twain
635597,shaheed bhagat singh nagar district
2581,cyclades
20437,strabo
76039,milton bradley company
9356,occitan language
22213,yenisei river
1250,bangladesh
70969,lake tahoe
1349,brandenburg
6644,jacob
103434,france national football team
384474,veikkausliiga
1669212,2015 canadian federal election
596568,kurdistan region
98507,snk
128283,bbc television
815972,united states department of defense
5816,prince elector
1344825,new england
11029,rca
82288,qinghai
639167,chilean war of independence
80536,daft punk
254180,ghana national football team
97274,chinese buddhism
4722,florence
159099,samara oblast
25706,yekaterinburg
104011,connecticut river
6033,indonesia
14011,vancouver
4616,miami marlins
6482,joseph stalin
310032,travel literature
25193,christian democratic appeal
27720,detroit pistons
21972,taranto
633954,port washington branch
37908,yellowknife
1870966,sahrawi arab democratic republic
487985,derry gaa
105462,unionism in ireland
510206,soviet armed forces
7560,los angeles
12705,thomas jefferson
117619,hal roach
305484,cardiff rfc
1090430,government of kerala
1777480,regent
1268117,british people
1289085,americans
1338779,bell system
1817436,sabrina carpenter
24242,danielle steel
20898,lincolnshire
16880,printmaking
37945,vicenza
4085,eric clapton
2130523,dj khaled
18091,county donegal
19675,lockheed corporation
78817,southern rock
5400,george gershwin
32411,the salvation army
1322,bell labs
188952,list of north carolina state parks
4720,falklands war
25242,gustav mahler
763957,monster movie
84315,cheap trick
107129,chinese taipei
7407,liechtenstein
83325,daily mail
526775,solan district
5204,goths
1787,british empire
112402,scholastic corporation
92302,ten pin bowling
2986,city university of new york
161918,vinnytsia oblast
71995,centre national de la recherche scientifique
18192,opeth
85636,neuwied
26444,tampere
6390,international brigades
134543,north london
923020,serbian cyrillic alphabet
834741,northeastern ontario
184241,hackensack river
88748,old world warbler
391276,danish superliga
8899,niue
26219,puducherry
8938,namibia
166642,royal rumble
24861,atlantic league of professional baseball
1352,bornholm
16006,alappuzha district
473460,spongebob squarepants
210583,royal caribbean international
75859,kim jong il
6879,keanu reeves
152885,argentina national football team
238499,lloyd bacon
473275,annette andre
196310,british film institute
5896,second polish republic
5002,geology
226743,adventure film
110572,jeddah
543,amitabh bachchan
26103,london school of economics
208058,buryatia
68416,great purge
895072,bandai namco entertainment
12773,trojan war
1182701,katy perry
13957,vincent van gogh
28752,disneyland paris
6227,islamism
119284,thor
273555,mersin
17203,clint eastwood
609350,bulgarian cup
117495,gauteng
1641154,team17
1705,babur
19435,dili
154661,arabic literature
108269,traditional chinese characters
7026,knight
165900,vadodara
131685,javanese language
9643,pope
1515,botany
34957,limehouse
88458,international security assistance force
152413,barranquilla
479595,how i met your mother
7647,long island
6264,infantry
29411,developing country
75908,carmarthenshire
71994,provinces of sweden
27795,minnesota wild
704769,rolls royce limited
2274,county fermanagh
12626,steve ditko
639949,parthian empire
207327,toyota corolla
1274160,great depression
10688,postage stamp
24454,napoleon iii
128712,university of leicester
181363,masters of the universe
80,albert einstein
10413,patriotism
120973,international boxing organization
145081,massif central
206583,perennial plant
24782,fredric march
1365055,malagasy language
317887,torah reading
740767,union navy
73024,nascar xfinity series
25238,tahiti
56872,lahore
5219,galois group
42749,key west
1444121,john b
24145,nagoya
93598,surabaya
24066,ecumenical patriarch of constantinople
5065,guadeloupe
123063,welsh government
14451,yugoslavia
301383,plains indians
197016,australian hip hop
141405,peerage of scotland
159773,gambino crime family
6138,ice hockey
26051,australian defence force
1712787,korean state railway
73768,monash university
12699,television channel
121064,italian renaissance
681120,hell
81877,fc porto
197769,south india
173023,government of ireland
194810,legislative assembly of ontario
370139,region of southern denmark
21892,zagreb
77940,coahuila
108305,assyrian people
10456,percussion instrument
243438,tuam
352646,private university
23335,alicia keys
4559,fox news
762,aramaic
95338,quebec major junior hockey league
422214,osun state
10221,pablo picasso
22149,bangkok
1403468,adriatic sea
9022,niger river
70754,local government areas of western australia
7353,laos
79109,carnatic music
9106,new mexico
2032420,bangalore
1270810,donald duck
102991,minister of state
366863,royal college of surgeons in ireland
750376,3000 metres steeplechase
98133,lenape
1194068,david weber
13415,tagalog language
764844,oklahoma sooners football
849899,university of toronto
448622,paris foreign missions society
927392,directv
1063349,hawthorn football club
128187,bromsgrove
1614640,durham university
477200,badulla
9748,posix
157369,altai krai
22800,hmong people
80219,motown
1403378,freestyle swimming
146323,kutaisi
97591,futurama
80765,thane
125608,order of st michael and st george
351608,royal college of physicians of edinburgh
81103,20th century fox
4334,finland
21439,tina arena
113621,internet forum
90496,muromachi period
2547,county dublin
488858,meath gaa
217759,latvian higher league
189034,ecclesiastical latin
90382,spiritualism
814731,akb48
14032,vice president of the united states
75643,west germanic languages
1662573,tauranga
479233,1500 metres
187769,chukchi sea
38035,video game publisher
155722,al anbar governorate
70941,grozny
88077,bryan adams
1683175,wwe network
30883,aube
289837,stephen hillenburg
28823,gascony
34394,rashtriya swayamsevak sangh
19625,abbasid caliphate
110332,bbc america
92668,reba mcentire
11644,singapore
133621,keio university
86063,antioquia department
1731034,koine greek
109201,northern cyprus
236830,travel channel
86499,slade
15015,eastern europe
1467096,university of nottingham
518649,cinema of the philippines
1529682,cumbernauld
389454,congregation of christian brothers
20213,montreux
97540,davis cup
159101,ulyanovsk oblast
10524,persian gulf
466077,planetary habitability
374708,centre right politics
135038,order of ontario
129387,role playing video game
593570,dutch golden age painting
99196,herbaceous plant
32938,bas rhin
9755,physician
1421273,gros de vaud district
13706,usb
226734,tom and jerry
100123,mendoza province
1640988,exeter chiefs
133233,cupressaceae
1608,book of judges
1264172,english studies
1594725,mysticism
157511,moravian silesian region
13850,volvo
15277,belarusians
131074,philippine basketball association
17237,sui dynasty
3249,dalai lama
13326,tigris
1814473,rigveda
1156870,political radicalism
25280,apocalyptic and post apocalyptic fiction
323708,chinese folk religion
13016,trajan
222183,mark millar
10968,romeo and juliet
109940,grand cayman
129732,witney
118690,palmerston north
179517,college board
12198,sam raimi
19019,berbers
434541,def jam recordings
1248,the bahamas
319553,old irish
252889,stockholm municipality
138439,szeged
35022,london borough of haringey
182032,ahvaz
13954,vilnius
136151,nanchang
12030,sarawak
21583,mainland china
15741,telugu language
489,amazon river
11435,san francisco bay
6649,john the baptist
14868,civil and political rights
37861,gaeltacht
248820,palatine of hungary
1727920,malacca
121664,sahara
377463,rascal flatts
110662,eastern wu
11420,steven spielberg
13685,university of texas at austin
1685919,subroutine
1274158,nelson rockefeller
23083,hiroshima
14139,w
166211,canterbury bankstown bulldogs
161907,luhansk oblast
721863,gracillariidae
110381,mendip hills
27264,derbyshire
672596,free state of prussia
161341,olympique de marseille
114943,la palma
37957,smolensk
108695,cuban revolution
479110,fa cup final
129109,distinguished service order
16266,luc besson
399420,mid north
759288,the sarah jane adventures
34119,island records
10963,rice university
14608,thirteen colonies
283712,treat williams
266655,riverside records
203968,greater western sydney
1313526,babylon
7836,lleida
119662,departments of honduras
140457,volhynia
1276229,guinness
110281,new york harbor
5195,gothic fiction
100816,world hockey association
5103,ganges
429845,ypres salient
4088,episcopal polity
11072,royal navy
17962,korn
1254149,united states dollar
8394,minnesota twins
305914,prussian navy
665122,l
13888,vangelis
126682,virginia military institute
133726,northern ireland executive
154029,deccan plateau
1116,akira toriyama
172058,action adventure game
55300,progressive conservative party of canada
374325,morobe province
23079,queensland
2120001,miyagi prefecture
114890,senate of the philippines
4831,federico fellini
111289,australian national university
165585,rebellion
214810,biographical film
126571,lublin voivodeship
7755,louis xiv of france
13630,united states declaration of independence
918270,bremen
83187,duke of aquitaine
9865,plymouth
122086,ian mcewan
11428,stephen king
314278,professional darts corporation
1062661,international wrestling revolution group
503034,carnian
155036,tver oblast
446428,bhutan
10976,ringo starr
20434,algonquian languages
3544,double bass
25445,ellesmere island
717881,albert pyun
71381,faith no more
117555,new york metropolitan area
682338,fc dallas
245828,olympique lyonnais
35568,edmonton
20021,braunschweig
606000,cieszyn county
38408,bill murray
114257,kingdom of romania
332492,armoured warfare
15319,jagiellonian university
229404,swiss air force
5781,hawick
20183,poitiers
9603,polish language
192096,middle tennessee
79820,jewish philosophy
411516,greek resistance
77789,mississauga
1313521,south los angeles
388950,rivers state
109985,binghamton university
1585,boston red sox
264823,leeds rhinos
22226,altai mountains
164723,piedmont triad
9041,nairobi
71649,east dunbartonshire
88210,hampton roads
128218,hungarian revolution of 1956
212288,social liberalism
211013,england cricket team
79,actinopterygii
438884,downtown calgary
1099352,greyhound racing in the united kingdom
99045,puntland
274498,sierra madre occidental
134029,parliament of england
35023,streatham
2402726,tampa bay vipers
13373,tristan da cunha
2938,charles i of england
103786,president of colombia
88775,riemannian geometry
809,australian rules football
1032451,english rugby union system
35036,twickenham
89567,felix the cat
170548,university of denver
22672,epiphyte
82044,the wall street journal
123639,daraa
20906,lepidoptera
7769,lusitania
385089,eerste divisie
24704,columbidae
2266,cenozoic
677582,hillary clinton
90428,woody woodpecker
9454,oakland athletics
211320,lake district national park
161909,dnipropetrovsk oblast
1964,chemistry
115785,buffalo soldier
409207,local government in the republic of ireland
232564,british indian army
9137,new orleans saints
9492,oxford english dictionary
497039,primera b nacional
78081,nfl europe
2070217,nintendo switch
77289,oviedo
7611,larry niven
235972,hallmark channel
19574,sussex
70946,opus number
956,arabian sea
179671,kranj
11448,scotland
805510,wexford senior hurling championship
36957,piraeus
228293,northern thailand
23327,toshiba
19017,alsace
344485,public university
1558158,mahayana
76587,super furry animals
26910,mysore
1148665,2015 pan american games
1932345,indian super league
555050,maltese people
121447,cambuslang
73560,voivode
151629,carpathian ruthenia
23266,penang
4647,frank capra
101622,brandenburg prussia
112935,callichthyidae
27673,kumbakonam
18788,ames research center
32955,bananarama
242902,eastern shore of virginia
90776,the all american rejects
105401,landgraviate of hesse kassel
843489,jihadism
18207,cathedral
36683,eastern bloc
15712,nvidia
14076,wim wenders
9681,philology
219237,ascot racecourse
1031987,television in the philippines
6502,jersey
106031,archibald prize
225142,welsh rugby union
15420,fidel castro
84194,conceptual art
133570,south africa national rugby union team
6815,jet propulsion laboratory
1357000,las estrellas
205081,broadway theatre
15850,university of glasgow
197853,kingdom of saxony
14293,wellington
457924,college of justice
128345,newry
1407356,greek mythology
103335,lecco
23918,boston university
269840,parliament of victoria
161933,namie amuro
20681,u2
90437,greek war of independence
114728,bacolod
129948,irish army
126860,maghreb
9765,pythonidae
2113,chile
748790,serbian superliga
17645,raphael
120677,spencer gulf
108913,harghita county
88958,morelos
15351,governor general of canada
396742,music education
182986,downtown seattle
10946,real time computing
35538,london borough of bromley
14314,world trade organization
479034,edmund goulding
22120,hanna barbera
488649,british classic races
7022,kansas city royals
133309,mumbai suburban railway
37830,mayor
102670,caryophyllaceae
233552,fawcett comics
92119,american hockey league
79532,tulane university
146760,bilateralism
15425,cannabis
8877,north sea
448,andrew jackson
1117181,african american neighborhood
132661,hokkaido railway company
2473,columbia university
164285,hellboy
11145,rijksmuseum
1407349,the jackson 5
9379,old testament
1909580,scottish league two
111964,csx transportation
10329,porsche
18137,arecaceae
13676,2000 united states presidential election
26442,norman conquest of england
6326,irish civil war
75046,the cult
746557,islam
11138,rhodesia
15463,hesse
22402,paramaribo
23936,leicestershire
32442,doris lessing
7607,lake champlain
103543,huntingdon
1900776,bengaluru fc
1973651,grand duchy of baden
7276,latvia
1387,american league championship series
5590,herodotus
9780,polygonaceae
8882,northwest territories
81156,spring and autumn period
189807,metropolitan borough of wigan
87882,hammersmith
17047,montreal canadiens
864775,leeds
167358,silverstone
97923,president of argentina
25611,peshawar
1407055,snorri sturluson
213595,rede globo
2175,comedy film
17512,cape of good hope
21907,special air service
781,archbishop of canterbury
1584920,voluntary association
187188,llandeilo
358658,rhine province
189862,city of wakefield
8610,mindanao
239821,railways in melbourne
97945,sergipe
119644,texas hill country
337441,united states soccer league system
80187,dionne warwick
15355,avignon
1310225,region of murcia
254991,elite ice hockey league
91502,historic counties of england
1205882,grenada
88824,audioslave
120183,san francisco chronicle
106926,bukidnon
4383,fiji
272146,aaron kwok
127768,bridlington
1313596,eurasia
1522224,rhodes
25771,new jersey devils
23005,regions of france
5326,georgian architecture
98483,artistic gymnastics
21138,haredi judaism
21307,louis xv of france
5558,h
377397,2 4 0
13571,university of washington
1953248,bebe rexha
1749453,devolver digital
697193,africa
83858,skien
12024,sports car club of america
260827,human eye
228427,gaelic games
2265093,purba bardhaman district
4614,faroese language
9140,normandy
98277,gerhart hauptmann
157866,california state assembly
241273,chagatai khanate
29173,2008 summer olympics
1695677,j balvin
416799,australian touring car championship
394002,prison break
23286,atlantic records
22478,brisbane river
22243,institute of electrical and electronics engineers
1242724,nasa
1010760,royal malaysia police
179918,qikiqtaaluk region
5757,house music
1070,associate justice of the supreme court of the united states
982,australian army
597692,indigenous peoples of mexico
104267,northern mindanao
128473,north somerset
613031,ss501
265376,breda
76166,strike action
12673,tennis
418014,public housing in hong kong
129417,canadian rockies
88916,laura ingalls wilder
505866,european handball federation
2316294,facebook watch
27064,carolina hurricanes
27797,anaheim ducks
487988,waterford gaa
13944,vermont
34959,mayfair
14004,v6 engine
256206,habsburg monarchy
136688,graphics processing unit
116506,army national guard
989455,the big bang theory
19163,archbishop
221624,moderator of the united church of canada
108857,scottish government
123005,weston super mare
123776,isthmian league
175968,defenceman
876550,first czechoslovak republic
138121,royal geographical society
605577,inner carniola
57935,barisan nasional
238938,alanya
30539,lyric poetry
139861,canis
150848,chubut province
128382,shah rukh khan
4330,association football
345433,sathyaraj
71489,provinces of ireland
25712,ancient greece
92229,poole
983467,list of philadelphia flyers seasons
8880,new brunswick
84843,ibaraki prefecture
206994,later tang
136518,south sulawesi
80983,nynorsk
1319358,chinsurah subdivision
15016,kfc
1490,big bang
13201,toronto transit commission
146540,united states court of appeals for the tenth circuit
271144,gipuzkoa
76422,supermarionation
209566,royal institute of british architects
84172,brantford
11439,sun microsystems
91304,palembang
1469459,christchurch central city
7545,liverpool
56289,dalarna county
545847,wwe brand extension
115212,stockport
128064,whanganui
3855,european parliament
127805,kettering
28306,grand national
32557,long distance running
9172,national hockey league
783967,professional bull riders
29906,juno award
17565,congo river
72102,mickey spillane
810570,indian armed forces
19697,groningen
243139,maryland house of delegates
113048,bandai
389537,mount lofty ranges
13717,university of victoria
27885,montpellier
79893,hunan
619318,supreme court of nigeria
2107240,fraternities and sororities
5719,hampshire
2614,chicago cubs
4630,folklore
1855447,2013 ncaa division i fbs football season
2326,the church of jesus christ of latter day saints
1529445,indiana high school athletic association
169797,sacramento valley
490295,rieti
4763,food and drug administration
147205,doctor of science
96233,durango
10928,rugby league
179993,plovdiv province
20192,prince
93199,boutros boutros ghali
305743,melkite greek catholic church
90205,mombasa
22979,taiwanese hokkien
4760,fyodor dostoevsky
71667,isle of lewis
257905,districts of germany
12277,sovereignty
500199,washington metropolitan area
99278,further education
14738,bristol
2042546,kelsea ballerini
27540,metro manila
84161,guelph
133624,negeri sembilan
146479,all female band
31185,sengoku period
179453,university of lisbon
157174,jabalpur
13129,tampa bay buccaneers
195044,snooker world rankings
4595,fa cup
576921,mersin province
77031,list of towns and cities in norway
580126,roman aqueduct
9751,pleistocene
177120,antarctic peninsula
223269,obie award
30225,brandeis university
803057,nowy targ county
10916,russian armed forces
94799,grumman
364764,thirty seconds to mars
118287,beersheba
165903,mcfly
1908121,dragon ball z
169148,barcelona metro
32288,flensburg
179296,city of license
397889,progressivism in the united states
81711,deutsche bahn
304034,hulu
570350,cuban war of independence
2002598,meghan trainor
86275,assam
1098171,birmingham
276522,californio
17233,ming dynasty
1339785,bisexuality
833411,manafest
724,arabic alphabet
37546,internet service provider
14228,world health organization
216267,city of sydney
171338,indian epic poetry
88741,federal government of the united states
260535,bankura district
71424,scottish borders
14545,zx spectrum
32918,eure et loir
35000,romford
84323,will ferrell
112620,fordingbridge
6534,jane austen
127985,derbyshire dales
73669,shivaji
203365,geo tv
18596,forgotten realms
8849,nicolas cage
26881,buffalo sabres
31034,norwegian resistance movement
13000,tiberius
546413,atlantic hurricane
4860,german language
570552,arsacid dynasty of armenia
21890,peter gabriel
1192937,fellow of the royal society of arts
97130,sir
13678,university of arizona
13071,the chronicles of narnia
135330,doordarshan
7926,mexico city
230998,united states district court for the northern district of illinois
89910,conducting
128652,new zealand house of representatives
973727,nepalis
160359,japanese national railways
128,american civil war
21268,supercars championship
106835,east africa
197106,charlotte motor speedway
198102,portuguese football federation
124695,uefa super cup
20053,literary criticism
11794,stonehenge
1709607,2017 world championships in athletics
436607,municipalities of germany
1234,bulgaria
24842,vanessa redgrave
120942,greater houston
88615,leyte
1445512,city of leeds
159639,cavalier
28534,numidia
1529402,baltimore
451378,franks
24481,trabzon
1286448,unicef
1626061,ford motor company
80366,isometric projection
6491,jeep
101124,university of iowa
8998,nigeria
367154,italian wine
442306,central los angeles
87509,royal new zealand air force
238290,butterfield overland mail
199322,states and federal territories of malaysia
404904,hakea
3291,debian
133149,july monarchy
664,acorn electron
113836,15th arrondissement of paris
208266,circuit de monaco
2433785,dhanbad sadar subdivision
1632177,arab spring
139212,union cycliste internationale
918461,act of independence of lithuania
668604,brisbane roar fc
30844,1972 summer olympics
1548587,nahuatl
152460,ecm records
167795,south dublin
1259044,ferdinand ii of aragon
413476,national premier leagues victoria
1402942,ascenso mx
10037,prague
80222,alternative rock
195394,nova scotia house of assembly
198977,darlington raceway
283954,the railway series
177732,tasman district
2269391,usl league one
146273,wuxi
18505,charles ii of england
1018273,classical greece
17774,calabria
104720,bottrop
9512,oda nobunaga
79992,rebbe
87635,natalie imbruglia
1182142,national health service
641874,saudi professional league
103436,germany national football team
70775,sikkim
455937,dhanbad district
185335,suzuki
16104,lord mayor of london
31470,burgundy
575724,telugu cinema
141828,james caan
9651,paleontology
1259,botswana
478432,tirunelveli district
160592,middlebury college
1829108,national premier leagues queensland
99071,royal flying corps
283646,government of new south wales
1169835,jalisco
18591,egyptian language
83819,the wb
909768,communism
2892,colonialism
221045,liberal conservatism
123821,linnean society of london
1914857,armed forces of south russia
134777,prosieben
98980,nablus
5842,horror fiction
1641822,polish navy
807133,animal rights
28027,federal emergency management agency
683928,ehf champions league
401110,caudovirales
27160,trans canada highway
288100,utah transit authority
22992,metro goldwyn mayer
121660,cold war
84432,nara prefecture
4682,french horn
622603,2011 pan american games
12063,samaria
177999,french community of belgium
89797,composer
118543,mpumalanga
83195,university of copenhagen
127742,worthing
7535,latin literature
82053,outsider art
127830,penzance
166563,guru gobind singh
165586,lakota language
592238,south africa national rugby sevens team
26197,incheon
353166,east champaran district
296192,cbc television
120583,bath rugby
217973,air racing
29959,rimini
12529,six day war
248592,indie pop
1271109,gossip girl
458,algiers
32267,sochi
168690,cowal
1186009,ottawa redblacks
218546,rosh yeshiva
365980,hong kong action cinema
102289,columbus crew sc
346611,northeast philadelphia
88440,tabasco
132227,sibiu
4051,european commission
71133,severn valley railway
17070,south west africa
98896,french revolutionary wars
3692,esperanto
18910,chhattisgarh
316105,ogun state
17391,interstate highway system
2412,claudius
212817,software framework
37720,guinness world records
889253,northern alberta
203747,greek alphabet
134182,independent film
753,apple ii
239792,pordenone
90040,episcopal see
1492908,pretty little liars
782597,randers
1108478,seattle sounders fc
239673,amateur wrestling
722886,lega basket serie a
1470967,ashanti people
73863,udinese calcio
7902,muhammad
157,author
32949,yonne
28099,county waterford
58012,malay language
248490,north queensland cowboys
12312,sea of marmara
12323,scottish highlands
1334466,robert burns
11172,russian civil war
72619,university of notre dame
17746,burgos
82280,jilin
93387,runcorn
473429,casale monferrato
363883,united kingdom constituencies
1883,basel
24430,mackinac island
3422,diesel engine
11336,sun
244652,top 14
95866,mexican americans
93537,phitsanulok province
103655,parker brothers
1125100,taxonomic rank
18489,nicholas i of russia
231699,val guest
8856,new hampshire
87094,rhythmic gymnastics
73666,odenwald
6659,jewish holidays
18539,crimean war
339412,saif ali khan
145463,0 6 0
78832,all in the family
9704,paleozoic
1317707,katwa subdivision
553038,paris opera
832661,japan campaign
167551,nigel bruce
8862,netherlands
1075662,indian premier league
8851,nascar
80953,south tyrol
825,house of ascania
12394,szlachta
9633,portugal
8204,mississippi river
1049025,scenic rim region
110149,sphingidae
143126,first australian imperial force
207002,bashkortostan
13962,venice
2392,canonization
268895,victoria police
16237,pseudonym
21139,salt lake city
93597,gunma prefecture
37970,amersfoort
2612,cleveland indians
66818,tokyo disney resort
862773,wigan
11326,south australia
896124,british ceylon
12319,scottish national party
4421,cinema of china
296526,gold mining
341793,gloucestershire county cricket club
